card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
BET-000010,BETA,11,ZephyrMechanical BETX,Viral,Wind,VOID CULT,6957,613,63,61,458,DIVINE.SQUALL.CATALYST,DIVINE.BREEZE.STRIKE,DIVINE.DRAFT.STRIKE,DIVINE.ZEPHYR.BOOST,DIVINE.SQUALL.BOOST,DIVINE.DRAFT.RUSH,DIVINE.DRAFT.CATALYST,DIVINE.GALE.BIND,DIVINE.ZEPHYR.SHIELD,[BETA] CSI=81,,NyxGen,wind
THE-000011,THETA,12,SparkMechanical THEX,Mechanical,Elec,CORRUPTED SECTOR,873,55,16,16,69,DIVINE.ARC.RUSH,DIVINE.ARC.CHARGE,DIVINE.SURGE.BOOST,DIVINE.VOLT.DRAIN,DIVINE.BOLT.CATALYST,DIVINE.BOLT.CHARGE,DIVINE.ARC.DRAIN,DIVINE.BOLT.RUSH,DIVINE.ARC.CHARGE,[THETA] CSI=41,,NyxGen,elec
ZET-000012,ZETA,13,AbyssMechanical ZETX,Demonic,Void,SYNTHETIC NETWORK,1817,129,28,28,175,DIVINE.NULL.RUSH,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.CHARGE,DIVINE.RIFT.STRIKE,DIVINE.RIFT.DRAIN,DIVINE.ABYSS.SHIELD,DIVINE.NULL.RUSH,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.WARD,[ZETA] CSI=48,,NyxGen,void
EPS-000013,EPSILON,14,BarkMechanical EPSX,Demonic,Wood,PROTOCOL DIVISION,2199,197,45,38,193,DIVINE.VINE.DRAIN,DIVINE.THORN.RUSH,DIVINE.BARK.CATALYST,DIVINE.BARK.BIND,DIVINE.VINE.WARD,DIVINE.ROOT.DRAIN,DIVINE.ROOT.CHARGE,DIVINE.THORN.CHARGE,DIVINE.ROOT.RUSH,[EPSILON] CSI=56,,NyxGen,wood
LAM-000014,LAMBDA,15,RootMechanical LAMX,Angelic,Wood,IRON CORTEX,312,40,11,11,21,DIVINE.THORN.CHARGE,DIVINE.BARK.WARD,DIVINE.THORN.CATALYST,DIVINE.VINE.RUSH,DIVINE.VINE.WARD,DIVINE.BARK.CHARGE,DIVINE.BLOOM.DRAIN,DIVINE.VINE.RUSH,DIVINE.THORN.WARD,[LAMBDA] CSI=18,,NyxGen,wood
EPS-000015,EPSILON,16,VoltMechanical EPSX,Mechanical,Elec,ROT CLUSTER,3112,215,40,47,183,DIVINE.ARC.SHIELD,DIVINE.VOLT.SHIELD,DIVINE.ARC.RUSH,DIVINE.SPARK.DRAIN,DIVINE.ARC.CHARGE,DIVINE.ARC.STRIKE,DIVINE.VOLT.CATALYST,DIVINE.BOLT.WARD,DIVINE.ARC.CATALYST,[EPSILON] CSI=60,,NyxGen,elec
GAM-000016,GAMMA,17,ArcMechanical GAMX,Angelic,Elec,GEAR SECT,3896,306,58,58,251,DIVINE.VOLT.CATALYST,DIVINE.ARC.SHIELD,DIVINE.SPARK.BOOST,DIVINE.BOLT.BOOST,DIVINE.SURGE.RUSH,DIVINE.SURGE.CHARGE,DIVINE.ARC.DRAIN,DIVINE.BOLT.STRIKE,DIVINE.SURGE.BIND,[GAMMA] CSI=67,,NyxGen,elec
ALP-000017,ALPHA,18,AbyssMechanical ALPX,Mechanical,Void,PROTOCOL DIVISION,8106,716,87,87,603,DIVINE.ECLIPSE.SHIELD,DIVINE.NULL.CATALYST,DIVINE.ECLIPSE.BOOST,DIVINE.NULL.CHARGE,DIVINE.RIFT.SHIELD,DIVINE.ECLIPSE.SHIELD,DIVINE.NULL.RUSH,DIVINE.ABYSS.RUSH,DIVINE.RIFT.BOOST,[ALPHA] CSI=85,,NyxGen,void
BET-000018,BETA,19,VoltMechanical BETX,Demonic,Elec,HALO CORE,6907,613,71,81,433,DIVINE.BOLT.WARD,DIVINE.VOLT.SHIELD,DIVINE.SPARK.BOOST,DIVINE.VOLT.RUSH,DIVINE.VOLT.RUSH,DIVINE.BOLT.BOOST,DIVINE.BOLT.SHIELD,DIVINE.BOLT.BOOST,DIVINE.BOLT.WARD,[BETA] CSI=74,,NyxGen,elec
EPS-000019,EPSILON,20,LumenMechanical EPSX,Viral,Holy,PROTOCOL DIVISION,2710,211,44,32,182,DIVINE.HALO.BIND,DIVINE.SANCT.WARD,DIVINE.LUMEN.SHIELD,DIVINE.SERA.WARD,DIVINE.SANCT.CATALYST,DIVINE.HALO.RUSH,DIVINE.LUMEN.BIND,DIVINE.RADIANCE.CHARGE,DIVINE.HALO.CATALYST,[EPSILON] CSI=60,,NyxGen,holy
ETA-000020,ETA,21,UmbralMechanical ETAX,Mechanical,Void,PHAGE CELL,1597,148,27,21,138,DIVINE.UMBRAL.STRIKE,DIVINE.UMBRAL.CHARGE,DIVINE.NULL.WARD,DIVINE.ECLIPSE.WARD,DIVINE.NULL.DRAIN,DIVINE.UMBRAL.STRIKE,DIVINE.UMBRAL.BOOST,DIVINE.ABYSS.CATALYST,DIVINE.RIFT.STRIKE,[ETA] CSI=38,,NyxGen,void
KAP-000021,KAPPA,22,EclipseMechanical KAPX,Angelic,Void,INFECTION VECTOR,643,34,8,11,49,DIVINE.UMBRAL.DRAIN,DIVINE.ABYSS.CATALYST,DIVINE.ECLIPSE.WARD,DIVINE.RIFT.RUSH,DIVINE.UMBRAL.CATALYST,DIVINE.NULL.CHARGE,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.RUSH,DIVINE.ECLIPSE.STRIKE,[KAPPA] CSI=27,,NyxGen,void
GAM-000022,GAMMA,23,RadianceMechanical GAMX,Demonic,Holy,HALO CORE,5759,380,61,71,312,DIVINE.RADIANCE.BOOST,DIVINE.HALO.SHIELD,DIVINE.RADIANCE.SHIELD,DIVINE.SANCT.RUSH,DIVINE.HALO.STRIKE,DIVINE.SANCT.CATALYST,DIVINE.LUMEN.RUSH,DIVINE.LUMEN.CATALYST,DIVINE.SANCT.STRIKE,[GAMMA] CSI=77,,NyxGen,holy
XI-000023,XI,24,RadianceMechanical XIX,Mechanical,Holy,ASTRUM DIVISION,91,13,5,4,15,DIVINE.SERA.RUSH,DIVINE.LUMEN.CATALYST,DIVINE.SERA.SHIELD,DIVINE.RADIANCE.SHIELD,DIVINE.SANCT.RUSH,DIVINE.HALO.RUSH,DIVINE.SANCT.SHIELD,DIVINE.SANCT.BIND,DIVINE.HALO.RUSH,[XI] CSI=7,,NyxGen,holy
KAP-000024,KAPPA,25,RiftMechanical KAPX,Viral,Void,ABYSSAL CABAL,488,46,12,15,54,DIVINE.ABYSS.CATALYST,DIVINE.RIFT.BOOST,DIVINE.NULL.BIND,DIVINE.ECLIPSE.BOOST,DIVINE.UMBRAL.DRAIN,DIVINE.ABYSS.WARD,DIVINE.NULL.WARD,DIVINE.NULL.RUSH,DIVINE.ECLIPSE.SHIELD,[KAPPA] CSI=26,,NyxGen,void
GAM-000025,GAMMA,26,EclipseMechanical GAMX,Demonic,Void,ASTRUM DIVISION,5125,340,65,53,340,DIVINE.NULL.CHARGE,DIVINE.RIFT.RUSH,DIVINE.ABYSS.RUSH,DIVINE.ABYSS.SHIELD,DIVINE.UMBRAL.WARD,DIVINE.UMBRAL.CHARGE,DIVINE.NULL.BOOST,DIVINE.UMBRAL.STRIKE,DIVINE.RIFT.RUSH,[GAMMA] CSI=69,,NyxGen,void
GAM-000026,GAMMA,27,TorrentMechanical GAMX,Mechanical,Aqua,LUMINA SECT,4448,414,50,63,395,DIVINE.MIST.SHIELD,DIVINE.TIDE.BOOST,DIVINE.MIST.WARD,DIVINE.MIST.BOOST,DIVINE.RIPPLE.WARD,DIVINE.TORRENT.BIND,DIVINE.TIDE.RUSH,DIVINE.RIPPLE.SHIELD,DIVINE.SURGE.DRAIN,[GAMMA] CSI=70,,NyxGen,aqua
EPS-000027,EPSILON,28,SurgeMechanical EPSX,Mechanical,Aqua,ASTRUM DIVISION,2088,274,36,45,260,DIVINE.RIPPLE.CATALYST,DIVINE.TORRENT.BOOST,DIVINE.TIDE.CATALYST,DIVINE.RIPPLE.BIND,DIVINE.TIDE.CATALYST,DIVINE.SURGE.BOOST,DIVINE.SURGE.RUSH,DIVINE.TORRENT.DRAIN,DIVINE.TORRENT.BOOST,[EPSILON] CSI=54,,NyxGen,aqua
THE-000028,THETA,29,RadianceMechanical THEX,Mechanical,Holy,IRON CORTEX,852,65,20,23,69,DIVINE.RADIANCE.BOOST,DIVINE.HALO.DRAIN,DIVINE.SERA.BIND,DIVINE.LUMEN.SHIELD,DIVINE.SERA.DRAIN,DIVINE.RADIANCE.WARD,DIVINE.RADIANCE.BIND,DIVINE.HALO.BIND,DIVINE.SANCT.WARD,[THETA] CSI=39,,NyxGen,holy
OME-000029,OMEGA,30,MistMechanical OMEX,Demonic,Aqua,CORRUPTED SECTOR,10418,812,111,104,902,DIVINE.RIPPLE.SHIELD,DIVINE.MIST.CATALYST,DIVINE.SURGE.CHARGE,DIVINE.TIDE.STRIKE,DIVINE.TORRENT.RUSH,DIVINE.MIST.DRAIN,DIVINE.TORRENT.SHIELD,DIVINE.MIST.STRIKE,DIVINE.MIST.DRAIN,[OMEGA] CSI=93,,NyxGen,aqua
EPS-000030,EPSILON,31,VoltMechanical EPSX,Demonic,Elec,PHAGE CELL,2025,274,41,33,244,DIVINE.VOLT.CATALYST,DIVINE.BOLT.WARD,DIVINE.BOLT.CATALYST,DIVINE.VOLT.DRAIN,DIVINE.VOLT.RUSH,DIVINE.SURGE.DRAIN,DIVINE.ARC.WARD,DIVINE.BOLT.RUSH,DIVINE.SURGE.CHARGE,[EPSILON] CSI=61,,NyxGen,elec
GAM-000031,GAMMA,32,AbyssMechanical GAMX,Angelic,Void,PROTOCOL DIVISION,3840,350,46,59,440,DIVINE.NULL.BIND,DIVINE.UMBRAL.CHARGE,DIVINE.RIFT.DRAIN,DIVINE.UMBRAL.BIND,DIVINE.UMBRAL.WARD,DIVINE.UMBRAL.BOOST,DIVINE.NULL.BIND,DIVINE.ABYSS.CHARGE,DIVINE.ABYSS.BOOST,[GAMMA] CSI=67,,NyxGen,void
ETA-000032,ETA,33,SurgeMechanical ETAX,Viral,Aqua,GEAR SECT,1167,123,27,29,79,DIVINE.RIPPLE.CATALYST,DIVINE.TORRENT.WARD,DIVINE.RIPPLE.CHARGE,DIVINE.TORRENT.CATALYST,DIVINE.SURGE.DRAIN,DIVINE.TIDE.STRIKE,DIVINE.TORRENT.DRAIN,DIVINE.RIPPLE.BOOST,DIVINE.SURGE.BIND,[ETA] CSI=40,,NyxGen,aqua
ETA-000033,ETA,34,ArcMechanical ETAX,Angelic,Elec,PHAGE CELL,1175,86,19,26,130,DIVINE.ARC.STRIKE,DIVINE.SPARK.SHIELD,DIVINE.ARC.STRIKE,DIVINE.SURGE.DRAIN,DIVINE.BOLT.WARD,DIVINE.ARC.BIND,DIVINE.VOLT.WARD,DIVINE.ARC.CATALYST,DIVINE.VOLT.DRAIN,[ETA] CSI=42,,NyxGen,elec
IOT-000034,IOTA,35,RadianceMechanical IOTX,Demonic,Holy,IRON CORTEX,559,54,17,16,40,DIVINE.RADIANCE.BIND,DIVINE.HALO.CATALYST,DIVINE.HALO.WARD,DIVINE.SERA.CATALYST,DIVINE.SERA.SHIELD,DIVINE.SANCT.STRIKE,DIVINE.RADIANCE.RUSH,DIVINE.SERA.DRAIN,DIVINE.LUMEN.WARD,[IOTA] CSI=24,,NyxGen,holy
ALP-000035,ALPHA,36,MistMechanical ALPX,Angelic,Aqua,ROT CLUSTER,7729,625,72,101,714,DIVINE.TIDE.SHIELD,DIVINE.MIST.BOOST,DIVINE.MIST.CHARGE,DIVINE.TIDE.RUSH,DIVINE.TIDE.STRIKE,DIVINE.TIDE.BOOST,DIVINE.RIPPLE.SHIELD,DIVINE.TORRENT.WARD,DIVINE.SURGE.CHARGE,[ALPHA] CSI=85,,NyxGen,aqua
IOT-000036,IOTA,37,RiftMechanical IOTX,Mechanical,Void,ROT CLUSTER,603,70,13,13,50,DIVINE.RIFT.RUSH,DIVINE.ECLIPSE.SHIELD,DIVINE.NULL.DRAIN,DIVINE.ABYSS.CHARGE,DIVINE.UMBRAL.WARD,DIVINE.ABYSS.STRIKE,DIVINE.UMBRAL.BIND,DIVINE.UMBRAL.CHARGE,DIVINE.NULL.WARD,[IOTA] CSI=33,,NyxGen,void
EPS-000037,EPSILON,38,PyreMechanical EPSX,Demonic,Fire,PHAGE CELL,2805,171,43,45,198,DIVINE.CINDER.WARD,DIVINE.PYRE.CHARGE,DIVINE.EMBER.CATALYST,DIVINE.BLAZE.RUSH,DIVINE.CINDER.BOOST,DIVINE.EMBER.STRIKE,DIVINE.EMBER.STRIKE,DIVINE.BLAZE.SHIELD,DIVINE.CINDER.BIND,[EPSILON] CSI=56,,NyxGen,fire
THE-000038,THETA,39,CinderMechanical THEX,Demonic,Fire,INFECTION VECTOR,964,83,21,25,68,DIVINE.CINDER.RUSH,DIVINE.FLARE.CATALYST,DIVINE.FLARE.CHARGE,DIVINE.BLAZE.WARD,DIVINE.BLAZE.DRAIN,DIVINE.EMBER.SHIELD,DIVINE.EMBER.CATALYST,DIVINE.BLAZE.BOOST,DIVINE.BLAZE.BIND,[THETA] CSI=42,,NyxGen,fire
KAP-000039,KAPPA,40,PyreMechanical KAPX,Angelic,Fire,ASTRUM DIVISION,637,40,9,11,23,DIVINE.BLAZE.BOOST,DIVINE.PYRE.SHIELD,DIVINE.FLARE.CHARGE,DIVINE.PYRE.CATALYST,DIVINE.FLARE.DRAIN,DIVINE.PYRE.BIND,DIVINE.EMBER.BIND,DIVINE.CINDER.WARD,DIVINE.FLARE.CATALYST,[KAPPA] CSI=22,,NyxGen,fire
MU-000040,MU,41,SurgeMechanical MUX,Angelic,Elec,HALO CORE,310,18,8,8,28,DIVINE.SURGE.RUSH,DIVINE.SPARK.SHIELD,DIVINE.VOLT.BIND,DIVINE.SURGE.SHIELD,DIVINE.BOLT.WARD,DIVINE.SPARK.DRAIN,DIVINE.SPARK.STRIKE,DIVINE.VOLT.CHARGE,DIVINE.SURGE.WARD,[MU] CSI=20,,NyxGen,elec
GAM-000041,GAMMA,42,SeraMechanical GAMX,Mechanical,Holy,LUMINA SECT,4044,337,53,72,435,DIVINE.SERA.WARD,DIVINE.LUMEN.SHIELD,DIVINE.SERA.STRIKE,DIVINE.LUMEN.CHARGE,DIVINE.SERA.BIND,DIVINE.LUMEN.WARD,DIVINE.SERA.WARD,DIVINE.RADIANCE.SHIELD,DIVINE.SERA.CHARGE,[GAMMA] CSI=67,,NyxGen,holy
THE-000042,THETA,43,BreezeMechanical THEX,Viral,Wind,GEAR SECT,1106,61,18,20,91,DIVINE.DRAFT.BOOST,DIVINE.SQUALL.BOOST,DIVINE.SQUALL.BIND,DIVINE.GALE.SHIELD,DIVINE.GALE.BIND,DIVINE.GALE.STRIKE,DIVINE.SQUALL.CATALYST,DIVINE.GALE.DRAIN,DIVINE.GALE.SHIELD,[THETA] CSI=42,,NyxGen,wind
OMI-000043,OMICRON,44,FlareMechanical OMIX,Demonic,Fire,CORRUPTED SECTOR,78,8,3,4,9,DIVINE.EMBER.STRIKE,DIVINE.EMBER.CHARGE,DIVINE.CINDER.STRIKE,DIVINE.FLARE.WARD,DIVINE.BLAZE.CATALYST,DIVINE.BLAZE.CHARGE,DIVINE.BLAZE.BIND,DIVINE.BLAZE.CATALYST,DIVINE.BLAZE.RUSH,[OMICRON] CSI=0,,NyxGen,fire
ZET-000044,ZETA,45,NullMechanical ZETX,Viral,Void,ROT CLUSTER,2361,164,22,35,96,DIVINE.ECLIPSE.BOOST,DIVINE.ECLIPSE.RUSH,DIVINE.NULL.BOOST,DIVINE.ABYSS.BOOST,DIVINE.ECLIPSE.RUSH,DIVINE.ECLIPSE.CHARGE,DIVINE.ECLIPSE.CHARGE,DIVINE.ABYSS.RUSH,DIVINE.ECLIPSE.CATALYST,[ZETA] CSI=48,,NyxGen,void
KAP-000045,KAPPA,46,BreezeMechanical KAPX,Angelic,Wind,HALO CORE,481,48,12,16,33,DIVINE.SQUALL.BOOST,DIVINE.BREEZE.SHIELD,DIVINE.BREEZE.CHARGE,DIVINE.DRAFT.SHIELD,DIVINE.DRAFT.BOOST,DIVINE.SQUALL.CATALYST,DIVINE.GALE.CHARGE,DIVINE.ZEPHYR.STRIKE,DIVINE.DRAFT.RUSH,[KAPPA] CSI=22,,NyxGen,wind
OME-000046,OMEGA,47,PyreMechanical OMEX,Mechanical,Fire,INFECTION VECTOR,9508,819,103,124,654,DIVINE.BLAZE.SHIELD,DIVINE.BLAZE.CHARGE,DIVINE.PYRE.DRAIN,DIVINE.EMBER.CATALYST,DIVINE.BLAZE.SHIELD,DIVINE.PYRE.BIND,DIVINE.EMBER.RUSH,DIVINE.BLAZE.BIND,DIVINE.PYRE.SHIELD,[OMEGA] CSI=95,,NyxGen,fire
THE-000047,THETA,48,SparkMechanical THEX,Angelic,Elec,CORRUPTED SECTOR,940,86,14,20,70,DIVINE.VOLT.RUSH,DIVINE.SPARK.BOOST,DIVINE.VOLT.CHARGE,DIVINE.VOLT.STRIKE,DIVINE.VOLT.BIND,DIVINE.VOLT.BOOST,DIVINE.SPARK.RUSH,DIVINE.SPARK.BIND,DIVINE.SPARK.WARD,[THETA] CSI=41,,NyxGen,elec
DEL-000048,DELTA,49,EmberMechanical DELX,Angelic,Fire,PHAGE CELL,4096,257,39,51,216,DIVINE.CINDER.STRIKE,DIVINE.CINDER.WARD,DIVINE.BLAZE.STRIKE,DIVINE.CINDER.SHIELD,DIVINE.FLARE.RUSH,DIVINE.PYRE.STRIKE,DIVINE.CINDER.CHARGE,DIVINE.PYRE.RUSH,DIVINE.EMBER.SHIELD,[DELTA] CSI=66,,NyxGen,fire
XI-000049,XI,50,BloomMechanical XIX,Demonic,Wood,GEAR SECT,144,9,4,6,7,DIVINE.ROOT.WARD,DIVINE.THORN.BIND,DIVINE.THORN.RUSH,DIVINE.BARK.CATALYST,DIVINE.THORN.CATALYST,DIVINE.THORN.RUSH,DIVINE.BARK.CHARGE,DIVINE.VINE.RUSH,DIVINE.BLOOM.BOOST,[XI] CSI=3,,NyxGen,wood
GAM-000050,GAMMA,51,EmberMechanical GAMX,Mechanical,Fire,CORRUPTED SECTOR,4041,315,47,62,376,DIVINE.PYRE.RUSH,DIVINE.FLARE.SHIELD,DIVINE.PYRE.SHIELD,DIVINE.EMBER.CHARGE,DIVINE.CINDER.STRIKE,DIVINE.BLAZE.BIND,DIVINE.CINDER.STRIKE,DIVINE.FLARE.SHIELD,DIVINE.EMBER.CHARGE,[GAMMA] CSI=72,,NyxGen,fire
IOT-000051,IOTA,52,RootMechanical IOTX,Viral,Wood,ASTRUM DIVISION,606,66,16,13,44,DIVINE.THORN.WARD,DIVINE.VINE.SHIELD,DIVINE.VINE.BIND,DIVINE.VINE.RUSH,DIVINE.BARK.WARD,DIVINE.BLOOM.CATALYST,DIVINE.ROOT.RUSH,DIVINE.BARK.RUSH,DIVINE.VINE.CHARGE,[IOTA] CSI=34,,NyxGen,wood
OME-000052,OMEGA,53,SanctMechanical OMEX,Demonic,Holy,HALO CORE,8524,819,87,97,865,DIVINE.HALO.CATALYST,DIVINE.SANCT.STRIKE,DIVINE.RADIANCE.SHIELD,DIVINE.RADIANCE.CATALYST,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.RUSH,DIVINE.RADIANCE.RUSH,DIVINE.HALO.SHIELD,DIVINE.HALO.WARD,[OMEGA] CSI=95,,NyxGen,holy
NU-000053,NU,54,SanctMechanical NUX,Mechanical,Holy,INFECTION VECTOR,244,12,7,7,24,DIVINE.SERA.SHIELD,DIVINE.HALO.BOOST,DIVINE.SANCT.BIND,DIVINE.SANCT.STRIKE,DIVINE.SANCT.WARD,DIVINE.SANCT.BOOST,DIVINE.LUMEN.BIND,DIVINE.LUMEN.RUSH,DIVINE.SANCT.CHARGE,[NU] CSI=15,,NyxGen,holy
NU-000054,NU,55,EmberMechanical NUX,Demonic,Fire,ASTRUM DIVISION,247,15,7,8,22,DIVINE.CINDER.CATALYST,DIVINE.CINDER.CHARGE,DIVINE.EMBER.SHIELD,DIVINE.CINDER.DRAIN,DIVINE.CINDER.BIND,DIVINE.PYRE.BIND,DIVINE.PYRE.STRIKE,DIVINE.BLAZE.CATALYST,DIVINE.FLARE.RUSH,[NU] CSI=7,,NyxGen,fire
MU-000055,MU,56,MistMechanical MUX,Mechanical,Aqua,GEAR SECT,181,30,6,8,31,DIVINE.MIST.BIND,DIVINE.TIDE.CHARGE,DIVINE.MIST.WARD,DIVINE.SURGE.BOOST,DIVINE.MIST.BIND,DIVINE.TIDE.BOOST,DIVINE.TORRENT.DRAIN,DIVINE.TORRENT.RUSH,DIVINE.RIPPLE.BOOST,[MU] CSI=16,,NyxGen,aqua
EPS-000056,EPSILON,57,RiftMechanical EPSX,Angelic,Void,HALO CORE,2441,222,36,49,145,DIVINE.NULL.DRAIN,DIVINE.ECLIPSE.CHARGE,DIVINE.ECLIPSE.BOOST,DIVINE.UMBRAL.SHIELD,DIVINE.RIFT.WARD,DIVINE.NULL.STRIKE,DIVINE.NULL.STRIKE,DIVINE.ABYSS.WARD,DIVINE.RIFT.RUSH,[EPSILON] CSI=60,,NyxGen,void
OME-000057,OMEGA,58,ArcMechanical OMEX,Viral,Elec,PHAGE CELL,9996,980,109,102,786,DIVINE.SURGE.DRAIN,DIVINE.SURGE.BOOST,DIVINE.VOLT.CATALYST,DIVINE.SPARK.SHIELD,DIVINE.ARC.STRIKE,DIVINE.SPARK.SHIELD,DIVINE.VOLT.STRIKE,DIVINE.SPARK.WARD,DIVINE.VOLT.BOOST,[OMEGA] CSI=96,,NyxGen,elec
XI-000058,XI,59,GaleMechanical XIX,Demonic,Wind,PHAGE CELL,128,11,3,6,16,DIVINE.SQUALL.BOOST,DIVINE.ZEPHYR.SHIELD,DIVINE.SQUALL.BOOST,DIVINE.BREEZE.SHIELD,DIVINE.SQUALL.DRAIN,DIVINE.ZEPHYR.CATALYST,DIVINE.DRAFT.SHIELD,DIVINE.ZEPHYR.DRAIN,DIVINE.BREEZE.DRAIN,[XI] CSI=8,,NyxGen,wind
THE-000059,THETA,60,PyreMechanical THEX,Viral,Fire,HALO CORE,800,67,21,20,55,DIVINE.EMBER.DRAIN,DIVINE.EMBER.STRIKE,DIVINE.EMBER.BOOST,DIVINE.FLARE.CHARGE,DIVINE.CINDER.CATALYST,DIVINE.EMBER.CATALYST,DIVINE.FLARE.DRAIN,DIVINE.CINDER.DRAIN,DIVINE.PYRE.SHIELD,[THETA] CSI=34,,NyxGen,fire
